盘号,KF,时码,Seedance 2.0 Image Prompt,Seedance 2.0 Motion Prompt,参考文件建议,优化说明
1,1,00:00-00:02,"@image1 as first frame. Authentic VHS found-footage still frame, hyper-realistic, extremely detailed photorealistic, heavy analog film grain, strong horizontal scanlines, color bleed, tracking jitter, slight motion blur. Cool desaturated blue-gray industrial tones with orange accent lights and red warning glows. Gritty dark realistic pseudo-documentary, oppressive eerie biomechanical horror atmosphere. Inspired by Prototype game dark tone + Poppy Playtime creepy factory aesthetic. Black CRT monitor screen with flickering white Chinese characters '第1盘 岸柏工业' in retro digital font. Keep same character, same lighting, no flicker, high consistency.","@video1 for camera movement. Static shot with heavy VHS flickering for 2 seconds. Brief color bar flash then title appears. Synchronized SFX: VHS static crackle, electronic glitch beeps, tape hiss. No BGM. Keep frame stable, no distortion.",@image1:标题文字图片,@video1:轻微晃动参考,添加@引用提升一致性
1,2,00:02-00:05,"@image1 as reference. Authentic VHS found-footage, hyper-realistic, extremely detailed photorealistic. Heavy analog film grain, strong horizontal scanlines. Cool desaturated blue-gray industrial tones with orange accent lights. Gritty dark realistic pseudo-documentary. Wide establishing shot: huge decaying industrial factory complex at night next to water, heavy pouring rain, massive yellow gantry cranes, wet concrete reflections. No Japanese cultural elements. VFX: rain streaks, neon glow bloom.","Slow shaky handheld push-in from street level toward factory gate. Rain streaks falling diagonally. Camera occasionally wiping water droplets from lens. Synchronized SFX: heavy pouring rain on metal, neon sign electrical buzz, distant thunder. Keep same rain density, maintain camera shake style.",@image1:工厂外景参考,@video1:推镜运动参考,增强@引用系统
1,3,00:05-00:09,"@image1 as character reference, @image2 as scene reference. Authentic VHS found-footage, hyper-realistic. Massive dimly lit factory hall interior, extremely long conveyor belt. Workers matching @image1: mid-30s man with short gray hair, blue eyes, wearing dirty oil-stained yellow cargo overalls, yellow hard hats, safety goggles. Performing repetitive assembly motion like possessed machines. Bright welding sparks, overhead flickering fluorescent tubes. VFX: sparks with motion blur. Keep same character appearance, same clothing, no face changes.","Slow pan left to right following the endless assembly line. Sparks trailing in slow motion. Synchronized SFX: welding torches hissing, metal clanking, hydraulic hisses. Collective worker repetitive grunts. Keep worker movements consistent, maintain industrial ambient sound.",@image1:工人角色参考,@image2:工厂内景参考,分拆多图参考
1,4,00:09-00:13,"@image1 as character reference. Extreme close-up of worker hands with thick black oil and grease, wearing thick work gloves. Frenetically tightening massive hexagonal bolts on giant mecha hydraulic piston. Sparks illuminating face with extreme manic twisted expression. VFX: oil flying, sparks with motion trails. Keep same hands, same gloves, no distortion.","Tight close-up with micro handheld shake. Hands moving faster in repetitive loop. Synchronized SFX: metal bolt tightening clangs, heavy frantic breathing, welding sparks hiss. Keep hand movements smooth, maintain focus.",@image1:手部特写参考,专注手部动作一致性
1,5,00:13-00:16,"@image1 as worker reference. Medium shot of enormous half-assembled mecha arm lifting upward. Workers looking up with wild manic glowing bloodshot eyes, performing synchronized upward gaze. Dramatic orange backlight from welding. Frozen moment of total insane worship. VFX: orange backlight bloom, eye glow reflection. Keep same workers, same expressions, same lighting.","Slow upward tilt following the rising arm. Sudden 0.8-second full freeze frame at peak. Synchronized SFX: hydraulic lifting groan, collective sharp gasps, metal cable tension creaking. Keep freeze frame stable, no glitch.",@image1:工人+机械臂参考,添加静帧技巧
1,6,00:16-00:18,"@image1 as reference. Wide chaotic shot of assembly line speeding up. Workers running in unnatural sync, faces twisted in ecstatic frenzy. Sparks exploding in chains, overhead lights strobing wildly. Extreme motion blur. VFX: strobing light flicker, extreme motion blur. Keep same workers, maintain chaos pace.","Rapid acceleration pan tracking the speeding line. Increasing camera shake. Synchronized SFX: accelerating machinery roar, sparks explosions, worker frantic shouts. Keep acceleration smooth.",@image1:全景加速参考,强调运动模糊
1,7,00:18-00:20,"@image1 as reference. Extreme overexposed wide shot overwhelmed by blinding white flash. Silhouette of giant mecha torso frame. Screen tearing and VHS tracking loss. VFX: full screen tearing, horizontal band displacement. Keep same silhouette shape.","Sudden overexposure flash with heavy tracking errors. Signal degrades to static snow then fade to black. Synchronized SFX: electrical overload buzz, explosion boom, VHS tape tear. No BGM.",@image1:过曝参考,优化VFX描述
2,1,00:00-00:02,"@image1 as first frame. Black CRT monitor screen with flickering white Chinese characters '第2盘 飞骨图书馆'. Strong VHS glitch distortion, horizontal scanlines. Pure black background, static title card. VFX: heavy glitch distortion. Keep title text readable, maintain CRT effect.","Static shot with heavy VHS flickering, title jitter for 2 seconds. Brief color bar flash. Synchronized SFX: VHS static crackle, glitch beeps. No BGM.",@image1:标题图片,简化提示词
2,2,00:02-00:05,"@image1 as scene reference. Wide establishing shot of dim old library hall with endless towering dark wood bookshelves. Cold blue light from tall arched windows, dust motes floating. VFX: dust particle volumetric light shafts. Keep same lighting temperature, same bookshelf density.","Slow shaky handheld push-in through entrance doorway. Dust motes drifting through light beams. Synchronized SFX: wooden door creak, echoing footsteps. Keep dust density consistent.",@image1:图书馆内景参考,优化灯光描述
2,3,00:05-00:10,"@image1 as crowd reference. Chaotic crowd of civilians in vintage coats tearing books off shelves, stacking huge piles. Overlapping figures creating visual chaos. Cold overhead fluorescent mixed with window light. VFX: paper flying with motion blur. Keep same crowd density, maintain chaos level.","Shaky handheld camera weaving through the madness. Bumping into people, dust and paper flying past lens. Synchronized SFX: frantic paper tearing, heavy books thudding. Keep crowd movement organic.",@image1:人群参考,优化人群密度
