盘号,KF,时码,NanoBanana Pro Image Prompt（文生图）,Seedance 2.0 Motion Prompt（图生视频）,参考文件,优化说明
1,1,00:00-00:02,"Subject: Black CRT monitor screen displaying. Action: Flickering white Chinese characters '第1盘 岸柏工业' in retro digital font. Setting: Pure black background, static title card. Style: VHS glitch distortion aesthetic, authentic found-footage look. Composition: Centered, full screen. Lighting: Screen glow only. Quality: Heavy horizontal scanlines, color bleed, tracking jitter. Constraints: No text except neon signs, no Japanese cultural elements.","@video1 for camera movement. Static shot with heavy VHS flickering for 2 seconds. Brief color bar flash then title appears. Synchronized SFX: VHS static crackle, electronic glitch beeps. No BGM.",@video1:轻微晃动参考,NanoBanana结构化
1,2,00:02-00:05,"Subject: Huge decaying industrial factory complex. Action: Standing at night next to water. Setting: Heavy pouring rain, massive yellow gantry cranes and warehouses, stacked shipping containers. Style: Gritty dark realistic, oppressive eerie biomechanical horror. Composition: Wide establishing shot matching reference. Lighting: Orange-cyan industrial neon signs, wet concrete reflections. Quality: Photorealistic, detailed. Constraints: No readable text, no Japanese elements.","Slow from street level toward factory shaky handheld push-in gate. Rain streaks falling diagonally. SFX: heavy rain on metal, neon buzz. Keep same rain density.",@image1:工厂参考,Nano强调场景描述
1,3,00:05-00:09,"Subject: Factory hall interior with workers. Action: Assembly line workers performing repetitive motions, building mecha parts. Setting: Extremely long conveyor belt, overhead flickering fluorescent tubes, welding sparks. Style: Grimy industrial, dark realistic. Composition: Wide elevated angle from catwalk. Lighting: Orange backlight from welding, yellow structural beams. Quality: Hyper-detailed, oil stains visible. Constraints: Workers must match reference character.","Slow pan left to right following assembly line. Sparks trailing in slow motion. SFX: welding hiss, metal clanking. Keep worker movements consistent.",@image1:工人参考,@image2:场景参考,分拆角色和场景
1,4,00:09-00:13,"Subject: Worker hands. Action: Frenetically tightening massive hexagonal bolts on mecha hydraulic piston. Setting: Oil-stained work gloves, yellow cargo overalls visible. Style: Extreme close-up, gritty detail. Composition: Tight on hands and face in soft focus. Lighting: Welding sparks illuminating face. Quality: Visible fingerprint whorls, vein detail. Constraints: Keep same hands, same gloves.","Tight close-up with micro handheld shake. Hands moving faster in repetitive loop. SFX: metal clanging, frantic breathing. Keep hand movements smooth.",@image1:手部特写,专注细节一致性
1,5,00:13-00:16,"Subject: Half-assembled mecha arm and workers. Action: Arm lifting upward on hydraulic crane, workers looking up. Setting: Dramatic orange backlight from welding stations. Style: Cin.ematic industrial Composition: Medium shot. Lighting: Orange backlight casting long shadows. Quality: Bloodshot eyes reflecting welding light. Constraints: Workers must match reference, same expressions.","Slow upward tilt following rising arm. 0.8-second freeze frame at peak. SFX: hydraulic groan, collective gasp. Keep freeze stable.",@image1:工人+机械臂,添加静帧技巧
1,6,00:16-00:18,"Subject: Assembly line workers and machinery. Action: Running in synchronized motion, sparks exploding. Setting: Overhead lights strobing, tools falling. Style: Chaotic, out of control. Composition: Wide chaotic shot. Lighting: Strobe lights creating effect. Quality: Extreme motion blur. Constraints: Keep same workers, maintain chaos pace.","Rapid acceleration pan tracking speeding line. Increasing camera shake. SFX: machinery roar, sparks explosions. Keep acceleration smooth.",@image1:全景,强调动态
1,7,00:18-00:20,"Subject: Giant mecha silhouette. Action: Standing motionless in inferno. Setting: Blinding white flash, fire and smoke. Style: Extreme overexposure, VHS tracking loss. Composition: Silhouette center frame. Lighting: White flash overwhelming. Quality: Signal degrading to snow. Constraints: Keep silhouette shape clear.","Overexposure flash with tracking errors, signal degrades to static. SFX: electrical buzz, explosion boom. Fade to black.",@image1:过曝,简化VFX
2,1,00:00-00:02,"Subject: Black CRT monitor screen. Action: Displaying flickering text. Setting: Pure black background. Style: VHS glitch, retro digital font. Composition: Centered. Lighting: Screen glow. Quality: Heavy glitch distortion. Constraints: Text must be readable.","Static shot with heavy VHS flickering, title jitter. Color bar flash. SFX: VHS crackle, glitch beeps.",@video1:标题参考,Nano简化
2,2,00:02-00:05,"Subject: Old library hall. Action: Towering dark wood bookshelves reaching vaulted ceiling. Setting: Cold blue light from tall arched windows, dust motes. Style: Dim, mysterious. Composition: Wide establishing. Lighting: Blue window light, brass lamps. Quality: Visible dust particles. Constraints: No modern elements.","Slow shaky handheld push-in. Dust motes drifting through light. SFX: door creak, footsteps echo.",@image1:图书馆,Nano强调氛围
2,3,00:05-00:10,"Subject: Crowd of civilians. Action: Tearing books off shelves, stacking piles. Setting: Overturned chairs, papers everywhere. Style: Chaotic, frantic. Composition: Overlapping figures. Lighting: Cold fluorescent mixed with window light. Quality: Paper flying with motion. Constraints: Keep crowd density.","Shaky handheld weaving through madness. Dust and paper flying. SFX: paper tearing, books thudding.",@image1:人群,优化动作描述
2,4,00:10-00:14,"Subject: Middle-aged man. Action: Burying face in mountain of books, flipping pages frantically. Setting: Desk lamp casting harsh side light, books stacked 3 layers deep. Style: Desperate, intense. Composition: Medium shot. Lighting: Harsh side light creating shadows. Quality: Sweat visible, paper dust. Constraints: Keep same character.","Follow shot circling the man. Hands moving faster. SFX: page flipping, heavy breathing. Keep character consistent.",@image1:男子,专注角色
2,5,00:14-00:17,"Subject: Aged fingers. Action: Flipping through ancient yellowed book pages with geometric symbols. Setting: Cold blue window light from upper left. Style: Extreme macro detail. Composition: Macro close-up. Lighting: Sharp page shadow. Quality: Paper fiber texture, foxing spots. Constraints: Keep same hand.","Slow zoom into page with sudden freeze. SFX: page flip rustle. Keep freeze stable.",@image1:手指,添加静帧
2,6,00:17-00:20,"Subject: Entire library transformed into sea of books. Action: Tiny figures crawling between towering piles. Setting: Paper drifting like snow, overhead lights dimming. Style: Bird's eye overview. Composition: High angle wide shot. Lighting: Dimming sections. Quality: Paper snow drift. Constraints: Keep same scale.","Slow crane up and pull back with shake. Lights dimming in waves. SFX: paper avalanche. Keep paper density.",@image1:全景,优化俯视
3,1,00:00-00:02,"Subject: Black CRT screen. Action: Displaying '第3盘 美术馆'. Setting: Pure black background. Style: VHS glitch, retro font. Constraints: Text readable.","Static VHS title jitter. Color bar flash. SFX: VHS crackle.",@video1:标题,简化
3,2,00:02-00:06,"Subject: White museum hall with paintings. Action: Giant abstract paintings featuring mecha logo on walls. Setting: Polished marble floor, velvet rope barriers. Style: Empty, pristine. Composition: Slow pan. Lighting: Dramatic spotlight pools. Quality: Dust motes in beams. Constraints: Logo must match reference.","Slow steady pan across hall. Spotlight beams shifting. SFX: echoing footsteps. Keep pace steady.",@image1:画廊,强调艺术感
3,3,00:06-00:11,"Subject: Crowd in formal attire. Action: Staring at paintings, some kneeling, pressing palms against glass. Setting: Tears streaming, elderly man clutching chest. Style: Emotional, reverent. Composition: Crowd coverage. Lighting: Spotlight on paintings. Quality: Tear droplets visible. Constraints: Maintain emotion intensity.","Handheld tracking shot weaving through crowd. SFX: soft sobs, shoe squeaks. Keep movement natural.",@image1:观众,专注情感
3,4,00:11-00:15,"Subject: Painting surface with mecha logo. Action: Extreme detail close-up. Setting: Visible brushstroke texture. Style: Museum quality. Composition: Push-in to logo. Lighting: Single dramatic spotlight. Quality: Paint texture visible. Constraints: Logo shape exact.","Slow push-in toward logo center. Light bloom intensifying. SFX: resonant hum from painting. Keep logo recognizable.",@image1:LOGO特写,强化细节
3,5,00:15-00:17,"Subject: Elegant woman in dark coat. Action: Staring upward, dilated pupils reflecting logo. Setting: Single tear rolling down cheek. Style: Dramatic portrait. Composition: Medium shot. Lighting: Spotlight on face. Quality: Eye reflection visible. Constraints: Keep same face.","Slow zoom into face with freeze frame. SFX: tear drop impact. Keep face consistent.",@image1:女子,添加静帧
3,6,00:17-00:20,"Subject: All visitors. Action: Tilting heads upward simultaneously. Setting: Logo emitting bright white light. Style: VHS noise bands increasing. Composition: Group shot. Lighting: Expanding light bloom. Constraints: Keep crowd synchronized.","Collective head tilt upward. Light bloom expanding. VHS noise increasing. SFX: collective gasp. Keep unity.",@image1:集体,简化
4,1,00:00-00:02,"Subject: Black CRT screen. Action: Displaying '第4盘 狂悼街区'. Style: VHS glitch. Constraints: Text readable.","Static title jitter. Color bar flash. SFX: VHS crackle.",@video1:标题,简化
4,2,00:02-00:05,"Subject: Makeshift concert stage. Action: Dense crowd packed shoulder to shoulder. Setting: Neon signs, wet street reflecting colors. Style: Night street, energetic. Composition: Wide establishing. Lighting: Neon bloom. Quality: Reflections visible. Constraints: Keep neon colors.","Shaky handheld with crowd sway. Neon reflections shimmering. SFX: crowd cheers. Camera shake organic.",@image1:街道,强调夜景
4,3,00:05-00:11,"Subject: Rock singer. Action: Screaming into vintage chrome microphone, sweat flying. Setting: Red stage light from side, monitor speaker at feet. Style: Intense performance. Composition: Medium shot. Lighting: Harsh red side light. Quality: Sweat droplet trails. Constraints: Keep same singer.","Energetic follow shot tracking singer. Sweat trails in slow motion. SFX: raw vocals, feedback. Keep appearance consistent.",@image1:歌手,专注动态
4,4,00:11-00:15,"Subject: Audience members. Action: Screaming, clutching phones, hands on barrier. Style: Montage chaos. Composition: Quick cuts. Lighting: Stage lights in eyes. Quality: Motion blur on hands. Constraints: Keep energy level.","Quick cut montage with shake. SFX: screams layered, barrier creaking. Keep cuts punchy.",@image1:观众,优化蒙太奇
4,5,00:15-00:18,"Subject: Singer hitting high note. Action: Neck tendons straining, face flushed red. Style: Extreme strain. Composition: Extreme close-up. Lighting: Stage light on sweat. Quality: Sweat streaming detail. Constraints: Keep expression.","Slow push-in then freeze frame. SFX: vocal note cutting to silence. Keep freeze stable.",@image1:表情,添加静帧
4,6,00:18-00:20,"Subject: Entire crowd at peak frenzy. Action: All lights strobing, singer arms spread wide. Style: Chaotic climax. Composition: Wide shot. Lighting: Strobe between red blue white. Quality: Backlight silhouette. Constraints: Keep crowd scale.","Rapid shake pulling back. Strobe intensifies. SFX: crowd roar reaching peak. Keep energy high.",@image1:全场,强化高潮
5,1,00:00-00:02,"Subject: Black CRT screen. Action: Displaying '第5盘 最终录像带'. Style: More severe VHS glitch. Constraints: Signal unstable.","Static title with heavy glitch. SFX: intense crackle, warning beeps.",@video1:标题,强化故障
5,2,00:02-00:06,"Subject: Mecha prototype in test hall. Action: Standing center, restrained by chains. Setting: Steel scaffolding, red warning lights. Style: Industrial, ominous. Composition: Wide shot. Lighting: Red warning beacon, blue chest core. Quality: Detailed mechanical. Constraints: Mecha design exact.","Slow push-in with shake toward mecha. Red lights sweeping. SFX: alarm siren, machinery hum. Keep pacing ominous.",@image1:机械兽,强调大场景
5,3,00:06-00:10,"Subject: Control room and mecha. Action: Hand pressing red button, chest core flaring blue. Style: Montage activation. Composition: Quick cuts. Lighting: Blue energy arcs. Constraints: Keep mecha consistent.","Quick cut montage with blue flash each cut. SFX: button click, electrical surge. Keep cuts punchy.",@image1:启动,优化序列
5,4,00:10-00:14,"Subject: Mecha trembling violently. Action: Hydraulic pipes bursting, sparks showering. Style: Catastrophic. Composition: Medium shot. Lighting: Blue core pulsing. Quality: Fluid spray visible. Constraints: Keep mecha stable.","Intense shake matching tremor. SFX: metal tremor, hydraulic burst. Keep shake intense.",@image1:颤抖,强化震动
5,5,00:14-00:17,"Subject: Mecha head. Action: Glowing blue lens staring. Setting: Hydraulic fluid dripping. Style: Terrifying close-up. Composition: Extreme close-up. Lighting: Blue lens glow. Quality: Lens detail. Constraints: Keep lens exact.","Slow zoom into eye with freeze. VHS artifacts progressively. SFX: servo whir, fluid drip. Keep freeze dramatic.",@image1:头部,添加静帧
5,6,00:17-00:19,"Subject: Explosion scene. Action: Fireball expanding, debris flying. Style: Catastrophic. Composition: Wide chaotic. Lighting: Fire and smoke. Quality: Debris trails. Constraints: Keep explosion massive.","Rapid multi-angle cuts with extreme shake. SFX: explosion boom, screams. Keep chaos intense.",@image1:爆炸,简化
5,7,00:19-00:20,"Subject: Mecha silhouette in inferno. Action: Standing with blue core glowing. Style: Overexposed, signal degrading. Composition: Silhouette. Lighting: White flash. Quality: VHS tearing. Constraints: Keep silhouette clear.","Overexposure flash with RGB separation. Signal loss to snow. SFX: explosion tail, tape tear. Fade to black.",@image1:终局,完美收尾
