盘号,KF,时码,完整 Image Prompt（直接复制到NanoBanana Pro）,Motion Prompt（图生视频，主Prompt，含SFX+VFX）,备注
1,1,00:00-00:02,"authentic VHS found-footage still frame, hyper-realistic, extremely detailed photorealistic, heavy analog film grain, strong horizontal scanlines, color bleed, tracking jitter, slight motion blur, cinematic VFX: sparks with motion blur, oil flying in extreme detail, screen tearing at edges, light flares and bloom, particle effects, cool desaturated blue-gray industrial tones with orange accent lights and red warning glows, gritty dark realistic pseudo-documentary, oppressive eerie biomechanical horror atmosphere, inspired by Prototype game dark tone + Poppy Playtime creepy factory aesthetic, decaying anonymous bubble-economy metropolis, old camcorder footage, no Japanese cultural elements whatsoever, no text except neon signs, cinematic composition black CRT monitor screen with flickering white Chinese characters ""第1盘 岸柏工业"" in retro digital font, strong VHS glitch distortion, horizontal scanlines rolling slowly, color bleed on edges, pure black background, static title card, bottom-right corner faint timecode overlay ""REC 00:00:01"", VFX: heavy glitch distortion and tracking error, brief color bar flash at start","static shot with heavy VHS flickering, scanline rolling, title jitter for 2 seconds, brief color bar flash then title appears, with synchronized SFX: VHS static crackle, electronic glitch beeps and tape hiss, faint magnetic head engagement click at start, no background music, no BGM",标题卡
1,2,00:02-00:05,"authentic VHS found-footage still frame, hyper-realistic, extremely detailed photorealistic, heavy analog film grain, strong horizontal scanlines, color bleed, tracking jitter, slight motion blur, cinematic VFX: sparks with motion blur, oil flying in extreme detail, screen tearing at edges, light flares and bloom, particle effects, cool desaturated blue-gray industrial tones with orange accent lights and red warning glows, gritty dark realistic pseudo-documentary, oppressive eerie biomechanical horror atmosphere, inspired by Prototype game dark tone + Poppy Playtime creepy factory aesthetic, decaying anonymous bubble-economy metropolis, old camcorder footage, no Japanese cultural elements whatsoever, no text except neon signs, cinematic composition wide establishing shot exactly matching the style and scale of the provided second industrial port reference image: huge decaying industrial factory complex at night next to water, heavy pouring rain, massive yellow gantry cranes and warehouses, stacked shipping containers in background, flickering faded orange-cyan industrial neon signs (no readable text or letters) on large gray-yellow warehouse facade, wet concrete and asphalt reflections with puddle ripples, dark gloomy overcast sky with low clouds, slight low-angle handheld shake, chain-link fence partially in foreground creating depth, VFX: rain streaks with motion blur, neon glow bloom, puddle reflection distortion","slow shaky handheld push-in from street level toward factory gate, rain streaks falling diagonally, camera occasionally wiping water droplets from lens, with realistic SFX: heavy pouring rain on metal roofs and concrete, neon sign electrical buzz and flicker, distant thunder rumble, wet pavement splashes from footsteps, chain-link fence rattle in wind, no background music, no BGM",外景
1,3,00:05-00:09,"authentic VHS found-footage still frame, hyper-realistic, extremely detailed photorealistic, heavy analog film grain, strong horizontal scanlines, color bleed, tracking jitter, slight motion blur, cinematic VFX: sparks with motion blur, oil flying in extreme detail, screen tearing at edges, light flares and bloom, particle effects, cool desaturated blue-gray industrial tones with orange accent lights and red warning glows, gritty dark realistic pseudo-documentary, oppressive eerie biomechanical horror atmosphere, inspired by Prototype game dark tone + Poppy Playtime creepy factory aesthetic, decaying anonymous bubble-economy metropolis, old camcorder footage, no Japanese cultural elements whatsoever, no text except neon signs, cinematic composition massive dimly lit factory hall interior with yellow structural beams and overhead cranes matching the provided industrial port reference, extremely long conveyor belt stretching into vanishing-point darkness, dozens of workers exactly matching the provided first worker reference character in hyper-realistic grimy style: mid-30s man with short gray hair, blue eyes, muscular arms, wearing dirty oil-stained yellow cargo overalls with multiple pockets and yellow suspenders over gray short-sleeve collared shirt, black leather belt with large silver buckle, black heavy boots, PLUS full industrial protective gear: yellow hard hats, safety goggles pushed up on foreheads, thick work gloves blackened with grease, dust masks hanging around necks, ear muffs, moving in unnatural perfectly synchronized repetitive loop like possessed machines repeating the exact same assembly motion over and over, eyes wide bloodshot and manic with collective insane devotion, synchronously assembling gigantic metallic mecha arm bones and torso frames in hypnotic endless cycle, bright welding sparks flying everywhere, overhead flickering fluorescent tubes with dead bulbs, oil-stained concrete floor, wide elevated angle shot from catwalk perspective, VFX: sparks with intense motion blur and light flares, welding arc glow on faces","slow pan left to right following the endless assembly line at steady pace, sparks trailing in slow motion arcs, slight zoom drift, with synchronized SFX: welding torches hissing and crackling in foreground, metal clanging and grinding in midground, hydraulic hisses and conveyor belt rumble in background, collective worker low guttural repetitive grunts and heavy synchronized breathing in perfect loop, distant overhead crane motor whine, no background music, no BGM",大全景（护具+重复疯狂）
1,4,00:09-00:13,"authentic VHS found-footage still frame, hyper-realistic, extremely detailed photorealistic, heavy analog film grain, strong horizontal scanlines, color bleed, tracking jitter, slight motion blur, cinematic VFX: sparks with motion blur, oil flying in extreme detail, screen tearing at edges, light flares and bloom, particle effects, cool desaturated blue-gray industrial tones with orange accent lights and red warning glows, gritty dark realistic pseudo-documentary, oppressive eerie biomechanical horror atmosphere, inspired by Prototype game dark tone + Poppy Playtime creepy factory aesthetic, decaying anonymous bubble-economy metropolis, old camcorder footage, no Japanese cultural elements whatsoever, no text except neon signs, cinematic composition extreme close-up of worker hands exactly matching the provided first reference character: mid-30s man with short gray hair and blue eyes visible in soft focus background, hands covered in thick black oil and grease with visible fingerprint whorls, wearing thick work gloves with torn fingertips exposing calloused skin, frantically tightening massive hexagonal bolts on giant mecha hydraulic piston, veins bulging from extreme force on forearms, precise robotic yet insanely repetitive movements repeating the exact same twist over and over like a broken loop, wearing yellow cargo overalls and gray shirt sleeves rolled up past elbows, black belt visible at waist, full protective gear including yellow hard hat with scratches and safety goggles fogged with sweat, sparks illuminating face with extreme manic twisted expression and clenched jaw, shallow depth of field with bokeh sparks in background, VFX: oil flying in extreme detail catching light, sparks particle effects with motion trails","tight close-up with micro handheld shake intensifying gradually, hands moving faster and faster in hypnotic repetition building to frantic pace, focus breathing between hands and face, with realistic SFX: metal bolt tightening clangs repeating in accelerating loop, heavy frantic breathing through dust mask, welding sparks hiss nearby, low possessed repetitive grunts synced to each twist, knuckle crack under strain, no background music, no BGM",油手疯狂特写
1,5,00:13-00:16,"authentic VHS found-footage still frame, hyper-realistic, extremely detailed photorealistic, heavy analog film grain, strong horizontal scanlines, color bleed, tracking jitter, slight motion blur, cinematic VFX: sparks with motion blur, oil flying in extreme detail, screen tearing at edges, light flares and bloom, particle effects, cool desaturated blue-gray industrial tones with orange accent lights and red warning glows, gritty dark realistic pseudo-documentary, oppressive eerie biomechanical horror atmosphere, inspired by Prototype game dark tone + Poppy Playtime creepy factory aesthetic, decaying anonymous bubble-economy metropolis, old camcorder footage, no Japanese cultural elements whatsoever, no text except neon signs, cinematic composition medium shot of enormous half-assembled mecha arm slowly lifting upward on hydraulic crane rig, dozens of workers exactly matching the provided first reference character (yellow cargo overalls, gray shirt, black belt and boots, full protective gear: yellow hard hats, safety goggles, thick gloves, dust masks, ear muffs, short gray hair, blue eyes) simultaneously looking up with wild manic glowing bloodshot eyes reflecting orange welding light, mouths slightly open in silent collective awe, performing the exact same upward gaze in perfect synchronized loop, dramatic orange backlight from welding stations behind them casting long shadows on floor, frozen moment of total insane worship, heavy film grain and slight vignette, VFX: orange backlight bloom with god-ray shafts through dust, collective eye glow reflection, subtle mouth tremor","slow upward tilt following the rising arm with sudden 0.8-second full freeze frame at peak, glitch artifact on freeze edge, then continue with slight jolt, with synchronized SFX: hydraulic lifting groan and pressurized hiss repeating in rhythm, collective sharp synchronized gasps turning into low unified repetitive moan, metal cable tension creaking, chain links clinking, no background music, no BGM",手臂抬起疯狂静帧
1,6,00:16-00:18,"authentic VHS found-footage still frame, hyper-realistic, extremely detailed photorealistic, heavy analog film grain, strong horizontal scanlines, color bleed, tracking jitter, slight motion blur, cinematic VFX: sparks with motion blur, oil flying in extreme detail, screen tearing at edges, light flares and bloom, particle effects, cool desaturated blue-gray industrial tones with orange accent lights and red warning glows, gritty dark realistic pseudo-documentary, oppressive eerie biomechanical horror atmosphere, inspired by Prototype game dark tone + Poppy Playtime creepy factory aesthetic, decaying anonymous bubble-economy metropolis, old camcorder footage, no Japanese cultural elements whatsoever, no text except neon signs, cinematic composition wide chaotic shot of the entire assembly line suddenly speeding up like a living organism losing control, workers exactly matching the provided first reference character (full protective gear) running in perfect unnatural sync to keep up with accelerating conveyor, faces twisted in ecstatic frenzy with sweat flying off, performing the exact same repetitive assembly motions in endless hypnotic loop at double speed, sparks exploding in chains along the line, overhead fluorescent lights strobing wildly between on and off, extreme motion blur on all moving parts and limbs, tools falling off tables, VFX: strobing light flicker creating strobe-frame effect, extreme motion blur, spark shower cascading","rapid acceleration pan tracking the speeding line with increasing camera shake and slight dutch angle, with realistic SFX: accelerating machinery roar building in pitch, sparks explosions popping in sequence, worker unified frantic repetitive shouts and heavy breathing in accelerating loop, alarm sirens starting with rising tone, tools clattering to floor, no background music, no BGM",加速疯狂
1,7,00:18-00:20,"authentic VHS found-footage still frame, hyper-realistic, extremely detailed photorealistic, heavy analog film grain, strong horizontal scanlines, color bleed, tracking jitter, slight motion blur, cinematic VFX: sparks with motion blur, oil flying in extreme detail, screen tearing at edges, light flares and bloom, particle effects, cool desaturated blue-gray industrial tones with orange accent lights and red warning glows, gritty dark realistic pseudo-documentary, oppressive eerie biomechanical horror atmosphere, inspired by Prototype game dark tone + Poppy Playtime creepy factory aesthetic, decaying anonymous bubble-economy metropolis, old camcorder footage, no Japanese cultural elements whatsoever, no text except neon signs, cinematic composition extreme overexposed wide shot of the factory hall overwhelmed by blinding white flash from electrical arc, screen tearing and VHS tracking loss at edges with horizontal band displacement, silhouette of giant mecha torso frame in center backlit by the flash, workers frozen mid-motion as silhouettes, final disaster hint, ceiling fixtures swinging, VFX: full screen tearing and overexposure bloom, horizontal band displacement, signal degradation to snow","sudden overexposure flash to white with heavy tracking errors and horizontal band roll, signal degrades to static snow then fade to black over 1 second, with synchronized SFX: electrical overload buzz building to sharp explosion boom, fluorescent tubes popping in sequence, VHS tape tear sound with magnetic warble, signal loss hiss fading to silence, no background music, no BGM",过曝淡出
2,1,00:00-00:02,"authentic VHS found-footage still frame, hyper-realistic, extremely detailed photorealistic, heavy analog film grain, strong horizontal scanlines, color bleed, tracking jitter, slight motion blur, cinematic VFX: sparks with motion blur, oil flying in extreme detail, screen tearing at edges, light flares and bloom, particle effects, cool desaturated blue-gray industrial tones with orange accent lights and red warning glows, gritty dark realistic pseudo-documentary, oppressive eerie biomechanical horror atmosphere, inspired by Prototype game dark tone + Poppy Playtime creepy factory aesthetic, decaying anonymous bubble-economy metropolis, old camcorder footage, no Japanese cultural elements whatsoever, no text except neon signs, cinematic composition black CRT monitor screen with flickering white Chinese characters ""第2盘 飞骨图书馆"" in retro digital font, strong VHS glitch distortion, horizontal scanlines rolling slowly, color bleed on edges, pure black background, static title card, bottom-right corner faint timecode overlay, VFX: heavy glitch distortion and tracking error, brief color bar flash at start","static shot with heavy VHS flickering, scanline rolling, title jitter for 2 seconds, brief color bar flash then title appears, with synchronized SFX: VHS static crackle, electronic glitch beeps and tape hiss, faint magnetic head engagement click, no background music, no BGM",标题卡
2,2,00:02-00:05,"authentic VHS found-footage still frame, hyper-realistic, extremely detailed photorealistic, heavy analog film grain, strong horizontal scanlines, color bleed, tracking jitter, slight motion blur, cinematic VFX: sparks with motion blur, oil flying in extreme detail, screen tearing at edges, light flares and bloom, particle effects, cool desaturated blue-gray industrial tones with orange accent lights and red warning glows, gritty dark realistic pseudo-documentary, oppressive eerie biomechanical horror atmosphere, inspired by Prototype game dark tone + Poppy Playtime creepy factory aesthetic, decaying anonymous bubble-economy metropolis, old camcorder footage, no Japanese cultural elements whatsoever, no text except neon signs, cinematic composition wide establishing shot of dim old library hall with endless towering dark wood bookshelves reaching vaulted ceiling, cold blue light from tall arched windows casting long shadows on worn wooden floor, visible dust motes floating in light shafts, brass reading lamps on long tables, slight low-angle handheld shake, foreground bookshelf edge creating depth frame, VFX: dust particle volumetric light shafts, slight lens flare from window","slow shaky handheld push-in through the entrance doorway, dust motes drifting through light beams, with realistic SFX: heavy wooden door creak opening, echoing footsteps on wooden floor, distant paper rustling from deep inside, faint ventilation hum, no background music, no BGM",大厅推进
2,3,00:05-00:10,"authentic VHS found-footage still frame, hyper-realistic, extremely detailed photorealistic, heavy analog film grain, strong horizontal scanlines, color bleed, tracking jitter, slight motion blur, cinematic VFX: sparks with motion blur, oil flying in extreme detail, screen tearing at edges, light flares and bloom, particle effects, cool desaturated blue-gray industrial tones with orange accent lights and red warning glows, gritty dark realistic pseudo-documentary, oppressive eerie biomechanical horror atmosphere, inspired by Prototype game dark tone + Poppy Playtime creepy factory aesthetic, decaying anonymous bubble-economy metropolis, old camcorder footage, no Japanese cultural elements whatsoever, no text except neon signs, cinematic composition chaotic crowd of civilians in vintage coats and worn suits frantically tearing books off shelves, stacking huge precarious piles on tables and floor, climbing wooden ladders that sway dangerously, loose pages and torn paper flying everywhere like confetti, overturned chairs, books scattered across floor, multiple overlapping figures creating visual chaos, cold overhead fluorescent mixed with window light, VFX: paper flying with motion blur trails, dust clouds from disturbed shelves","shaky handheld camera weaving through the madness at shoulder height, bumping into people, dust and paper flying past lens, with synchronized SFX: frantic paper tearing and crumpling in foreground, heavy books thudding on tables and floor, wooden ladder creaking, heavy breathing and urgent whispers overlapping, crowd murmurs building in intensity, shelf wood groaning under stress, no background music, no BGM",民众疯翻书
